order_id,product_id,category,price,base_price,amount,status,user_id,region,priority,order_date,quantity,payment_method,old_name
ORD100000,P1072,Clothing,1268.94,1793.83,2123.09,Refunded,U3013,South,Medium,2025-06-19,5,Credit Card,item_366
ORD100001,P1372,Books,3654.49,1842.62,4088.83,Refunded,U2786,South,Medium,2024-01-25,1,Debit Card,item_357
ORD100002,P1479,Toys,1626.28,1942.21,2520.27,Cancelled,,East,Low,2024-12-27,13,Credit Card,item_159
ORD100003,P1089,Groceries,3072.87,1416.06,4873.15,Completed,U3148,North,Low,2025-09-10,14,UPI,item_245
ORD100004,P1842,Clothing,4424.95,2881.66,1826.08,Completed,U2636,North,Medium,2025-04-29,11,COD,item_381
ORD100005,P1469,Clothing,,2076.37,1479.06,Cancelled,U2214,East,High,2025-01-10,4,Credit Card,item_204
ORD100006,P1024,Furniture,2778.0,2649.05,7758.76,Completed,U2204,Central,High,2024-11-05,13,COD,item_422
ORD100007,P1901,Toys,4779.61,3106.04,3992.74,Completed,U3136,West,Medium,2024-08-09,20,Credit Card,item_427
ORD100008,P1270,Groceries,1381.44,332.67,6040.69,Pending,U3382,South,Low,2024-05-28,19,Debit Card,item_488
ORD100009,P1072,Sports,,499.42,3199.83,Completed,U2333,Central,Medium,2025-06-17,18,Net Banking,item_214
ORD100010,P1769,Furniture,3902.45,1277.72,2551.32,Cancelled,U2042,North,Medium,2025-05-11,17,UPI,item_284
ORD100011,P1862,Books,1052.98,2682.76,6214.31,Refunded,U3247,South,Low,2025-02-19,7,Credit Card,item_223
ORD100012,P1126,Clothing,3608.74,3054.8,1634.85,Pending,U3098,East,Low,2024-06-20,9,Debit Card,item_182
ORD100013,P1311,Electronics,1940.96,3053.3,5116.32,Cancelled,U3443,West,Low,2025-06-14,15,COD,item_420
ORD100014,P1754,Books,2120.83,368.74,440.24,Pending,U3189,West,Low,2024-02-04,5,Debit Card,item_206
ORD100015,P1325,Clothing,1321.15,826.05,3187.27,Processing,U2653,West,Medium,2024-10-23,3,Credit Card,item_56
ORD100016,P1546,Electronics,4310.07,3046.86,7825.44,Refunded,U3469,North,Medium,2024-01-10,19,COD,item_318
ORD100017,P1543,Clothing,2716.16,1368.74,5135.2,Pending,U2694,Central,Low,2025-02-24,5,COD,item_430
ORD100018,P1519,Electronics,3484.92,992.94,7972.77,Pending,U2392,South,High,2024-09-17,12,COD,item_486
ORD100019,P1213,Furniture,2476.34,2118.65,4742.13,Completed,U3269,West,High,2024-10-16,18,Debit Card,item_159
ORD100020,P1655,Groceries,3073.63,44.2,1765.16,Refunded,U2848,South,Medium,2025-07-01,16,Debit Card,item_52
ORD100021,P1664,Groceries,885.2,227.73,2623.94,Refunded,,North,Low,2025-01-28,13,Credit Card,item_443
ORD100022,P1323,Electronics,3401.56,3153.68,856.2,Pending,,West,Low,2024-09-15,2,UPI,item_389
ORD100023,P1769,Clothing,3129.21,1855.84,5420.91,Processing,U2786,East,Medium,2024-04-28,5,Credit Card,item_249
ORD100024,P1145,Toys,186.11,1653.45,3066.89,Refunded,U3221,North,Low,2025-06-08,14,COD,item_299
ORD100025,P1218,Clothing,,2373.88,4480.25,Pending,U2530,South,Medium,2024-09-17,17,UPI,item_447
ORD100026,P1576,Toys,739.85,2631.66,5735.06,Completed,U3469,East,Low,2025-05-20,16,Debit Card,item_132
ORD100027,P1467,Furniture,925.82,3037.34,5503.94,Refunded,U3144,Central,High,2024-07-02,11,Credit Card,item_86
ORD100028,P1392,Books,2873.1,2310.34,171.77,Completed,U2261,West,Medium,2024-12-02,13,COD,item_16
ORD100029,P1084,Furniture,2746.13,2334.22,175.37,Refunded,U2680,East,High,2024-09-19,8,COD,item_483
ORD100030,P1950,Electronics,1413.87,3685.54,3289.94,Processing,U2802,Central,Medium,2025-06-14,8,Credit Card,item_47
ORD100031,P1892,Toys,450.97,2942.93,5505.96,Cancelled,,West,Low,2024-09-28,20,Debit Card,item_350
ORD100032,P1275,Books,1106.29,971.74,4011.68,Refunded,U3062,North,Medium,2025-05-26,3,Credit Card,item_32
ORD100033,P1942,Books,1442.79,666.35,2025.99,Refunded,U2104,South,Low,2025-02-01,7,COD,item_164
ORD100034,P1806,Toys,3310.69,3734.72,2408.66,Processing,U3479,Central,Medium,2025-08-27,15,Net Banking,item_389
ORD100035,P1423,Sports,1425.65,3983.62,2085.49,Cancelled,U3366,Central,High,2024-06-19,13,Credit Card,item_59
ORD100036,P1416,Groceries,4267.11,1483.05,3093.31,Pending,U2002,East,Low,2024-04-03,5,UPI,item_410
ORD100037,P1479,Sports,3957.28,1315.19,2348.93,Refunded,U3341,South,Medium,2024-12-27,19,COD,item_409
ORD100038,P1625,Clothing,977.37,3325.65,5354.6,Completed,U2885,North,Low,2025-05-27,5,UPI,item_384
ORD100039,P1482,Clothing,1576.13,1507.49,2380.02,Completed,U3429,West,Medium,2024-02-23,11,UPI,item_337
ORD100040,P1224,Electronics,209.12,3147.69,1869.07,Refunded,U2975,South,Low,2024-06-10,11,UPI,item_254
ORD100041,P1259,Clothing,1123.47,2892.38,5049.88,Completed,U2450,South,Low,2025-03-11,11,Debit Card,item_363
ORD100042,P1572,Toys,666.2,2889.7,1712.23,Cancelled,U3142,East,High,2025-02-15,5,Net Banking,item_419
ORD100043,P1339,Electronics,3726.28,1396.79,415.9,Refunded,U3401,West,Low,2024-05-02,15,UPI,item_342
ORD100044,P1415,Electronics,,2567.53,2422.39,Processing,U2588,West,Low,2025-02-25,19,Net Banking,item_146
ORD100045,P1264,Furniture,1149.01,2054.71,6641.48,Processing,U3452,East,Medium,2024-12-04,15,COD,item_284
ORD100046,P1262,Electronics,1038.36,3423.81,5981.53,Processing,U2854,South,Medium,2025-03-08,13,Credit Card,item_308
ORD100047,P1262,Clothing,1179.01,2407.36,7447.2,Refunded,U2877,East,High,2025-09-10,17,UPI,item_409
ORD100048,P1811,Toys,,1440.24,5735.88,Refunded,U2581,Central,Medium,2025-01-04,16,UPI,item_339
ORD100049,P1638,Toys,2654.24,1311.25,857.22,Cancelled,U2425,East,Medium,2024-05-23,6,Net Banking,item_75
ORD100050,P1574,Furniture,1697.8,732.8,834.25,Processing,U2315,West,Medium,2024-09-29,8,Credit Card,item_496
ORD100051,P1662,Electronics,360.97,379.2,5379.57,Cancelled,U2890,West,Low,2024-07-18,7,Credit Card,item_124
ORD100052,P1704,Groceries,3532.54,601.54,640.79,Pending,U3389,South,Low,2024-06-02,11,Credit Card,item_209
ORD100053,P1183,Toys,4795.4,2827.19,4165.57,Refunded,U2419,South,High,2025-04-28,14,UPI,item_17
ORD100054,P1111,Books,1174.02,482.01,221.98,Processing,U3022,North,Medium,2024-02-21,19,COD,item_410
ORD100055,P1814,Clothing,4856.1,1142.96,2753.74,Pending,U2984,West,High,2024-08-30,3,Debit Card,item_288
ORD100056,P1959,Books,3839.72,2834.15,6994.34,Pending,U2038,West,High,2024-03-22,7,COD,item_90
ORD100057,P1648,Electronics,2041.23,259.08,6095.22,Processing,U3066,North,High,2024-04-13,13,COD,item_457
ORD100058,P1576,Electronics,4372.23,3783.79,7062.09,Processing,U2731,South,High,2025-04-25,17,COD,item_154
ORD100059,P1481,Toys,,225.84,1278.26,Pending,U2311,Central,High,2024-05-20,3,COD,item_7
ORD100060,P1982,Clothing,2988.27,382.54,6230.61,Cancelled,,East,Medium,2024-02-20,2,Debit Card,item_247
ORD100061,P1960,Sports,3856.71,1452.82,7441.22,Cancelled,U2510,East,Low,2024-03-27,1,COD,item_116
ORD100062,P1393,Groceries,352.37,2672.79,583.97,Completed,U3459,East,Low,2025-02-04,6,Debit Card,item_258
ORD100063,P1310,Toys,4085.91,3617.9,5562.81,Pending,U3085,South,High,2024-10-24,12,Credit Card,item_61
ORD100064,P1737,Groceries,221.7,3844.66,4434.63,Pending,U2419,West,Low,2025-03-15,11,Debit Card,item_449
ORD100065,P1187,Toys,2676.63,449.49,6946.75,Cancelled,U2139,Central,Medium,2024-07-04,16,Net Banking,item_239
ORD100066,P1077,Clothing,653.17,1940.37,4951.92,Processing,U2467,North,High,2025-01-05,20,Credit Card,item_50
ORD100067,P1907,Books,3795.65,1835.44,1365.9,Cancelled,U2080,Central,Medium,2024-07-23,8,UPI,item_396
ORD100068,P1489,Groceries,2785.38,407.64,5831.97,Cancelled,U2256,Central,Low,2024-11-11,12,Credit Card,item_87
ORD100069,P1259,Furniture,189.43,1928.27,5707.04,Completed,,North,Low,2024-05-14,3,Net Banking,item_116
ORD100070,P1593,Groceries,2670.0,2774.5,7799.88,Refunded,U2719,North,High,2024-11-13,9,Net Banking,item_420
ORD100071,P1006,Furniture,4750.69,3901.94,289.18,Cancelled,U3013,North,Medium,2024-12-27,2,Net Banking,item_377
ORD100072,P1716,Furniture,4712.76,1603.42,6449.76,Cancelled,U3107,West,Low,2024-04-11,10,COD,item_229
ORD100073,P1463,Groceries,244.3,1658.71,4649.05,Cancelled,U3125,Central,High,2024-10-13,10,Debit Card,item_152
ORD100074,P1667,Furniture,,1886.75,3670.88,Completed,U2486,South,Medium,2025-09-15,3,Debit Card,item_40
ORD100075,P1315,Toys,4148.3,3167.99,6895.95,Processing,U2609,South,Low,2025-08-10,5,COD,item_375
ORD100076,P1502,Toys,2957.55,3581.76,147.29,Refunded,,South,Low,2024-07-27,3,COD,item_411
ORD100077,P1590,Sports,2874.75,2449.94,810.88,Completed,U3376,South,Low,2025-05-09,20,UPI,item_389
ORD100078,P1493,Clothing,3845.84,1436.19,6996.42,Processing,U2299,East,High,2024-10-09,5,COD,item_428
ORD100079,P1396,Electronics,2502.18,2438.41,5429.85,Processing,U3240,North,Low,2024-03-21,16,COD,item_286
ORD100080,P1748,Toys,3171.18,2931.76,3962.9,Refunded,U2321,South,Medium,2025-02-14,10,Debit Card,item_493
ORD100081,P1162,Electronics,3543.25,2692.67,5168.13,Completed,U3388,Central,Medium,2025-08-08,17,COD,item_40
ORD100082,P1054,Sports,2469.27,3175.01,6341.71,Processing,U2885,East,High,2024-05-16,1,UPI,item_367
ORD100083,P1423,Clothing,1733.93,2284.8,1401.77,Cancelled,,South,High,2025-01-29,9,UPI,item_86
ORD100084,P1359,Furniture,2945.08,2952.96,4838.26,Pending,U2981,East,Medium,2025-06-11,6,Debit Card,item_192
ORD100085,P1064,Electronics,3117.63,1338.24,7424.11,Pending,U2493,East,Low,2024-05-15,6,Net Banking,item_456
ORD100086,P1015,Sports,4923.22,994.12,3645.04,Completed,U3133,Central,Low,2025-07-04,17,COD,item_20
ORD100087,P1148,Electronics,1013.29,3529.39,6022.57,Refunded,U2937,South,Low,2024-11-30,3,Debit Card,item_88
ORD100088,P1528,Clothing,1219.66,3003.31,939.87,Completed,U3303,West,Low,2024-04-04,12,UPI,item_186
ORD100089,P1713,Furniture,1854.9,3211.69,530.43,Refunded,,North,High,2024-12-22,14,Net Banking,item_133
ORD100090,P1528,Toys,3333.45,2213.68,6107.19,Pending,U2693,East,Medium,2024-04-04,9,COD,item_271
ORD100091,P1710,Sports,2974.76,838.46,5755.41,Refunded,U2654,East,Medium,2025-07-07,5,Net Banking,item_344
ORD100092,P1838,Groceries,3999.11,2985.87,6220.2,Cancelled,U3173,Central,High,2025-07-12,5,Net Banking,item_76
ORD100093,P1491,Clothing,64.97,761.23,630.48,Cancelled,U2923,North,High,2024-04-10,13,COD,item_2
ORD100094,P1131,Furniture,148.01,1018.98,4451.9,Completed,U2015,West,Medium,2024-10-15,8,Credit Card,item_87
ORD100095,P1547,Furniture,175.4,2079.33,7743.97,Refunded,U2631,East,Medium,2024-04-22,20,COD,item_186
ORD100096,P1743,Furniture,4511.49,608.76,6086.97,Processing,U2995,South,Low,2024-02-26,4,Net Banking,item_357
ORD100097,P1027,Furniture,949.4,3831.88,5346.23,Pending,U2350,North,Low,2025-06-17,8,Net Banking,item_461
ORD100098,P1789,Sports,2322.73,3080.27,728.1,Refunded,U2638,North,Low,2025-10-02,1,Net Banking,item_12
ORD100099,P1296,Furniture,3704.28,1103.86,4671.59,Completed,U2093,West,High,2024-02-13,12,Credit Card,item_431
ORD100100,P1205,Toys,2992.48,3077.57,106.42,Refunded,U2439,East,Low,2025-02-03,18,Net Banking,item_109
ORD100101,P1871,Groceries,2834.84,3501.98,2301.42,Cancelled,U2610,East,Medium,2024-10-20,7,COD,item_115
ORD100102,P1439,Groceries,1274.31,3159.16,5844.51,Refunded,U3179,South,Medium,2025-06-13,5,COD,item_356
ORD100103,P1502,Groceries,932.89,1104.89,1084.07,Refunded,U3273,West,Medium,2024-10-27,13,Credit Card,item_374
ORD100104,P1040,Sports,1497.95,1515.6,5391.27,Refunded,U2060,North,High,2025-05-07,15,UPI,item_374
ORD100105,P1334,Toys,2405.72,1512.49,5420.27,Pending,U3323,Central,Medium,2025-07-04,4,Net Banking,item_41
ORD100106,P1367,Groceries,119.11,3659.62,6420.87,Refunded,U3292,Central,Medium,2025-09-03,14,Credit Card,item_87
ORD100107,P1557,Clothing,1034.26,1534.87,5099.99,Pending,U2399,West,Medium,2025-09-26,18,Credit Card,item_298
ORD100108,P1071,Electronics,1371.2,3950.94,3327.85,Refunded,U2388,East,Medium,2025-06-24,10,COD,item_165
ORD100109,P1118,Books,340.16,869.31,6222.22,Processing,U2139,North,High,2024-07-20,14,Net Banking,item_314
ORD100110,P1582,Clothing,1181.27,3235.63,2248.63,Completed,U2585,South,Low,2024-10-17,6,Debit Card,item_385
ORD100111,P1820,Toys,3799.78,2057.91,2205.2,Cancelled,U2327,North,Low,2025-01-14,5,UPI,item_228
ORD100112,P1757,Books,2619.3,2938.62,6619.17,Cancelled,U2367,Central,Low,2024-11-18,12,Credit Card,item_389
ORD100113,P1374,Sports,534.92,90.93,7462.51,Pending,U2008,East,High,2024-02-19,13,Debit Card,item_324
ORD100114,P1887,Furniture,3009.02,73.3,5432.9,Refunded,U3208,South,Low,2024-07-06,20,COD,item_321
ORD100115,P1646,Furniture,3448.0,3518.1,4230.74,Refunded,U3052,Central,Low,2025-01-19,11,Debit Card,item_114
ORD100116,P1262,Furniture,1926.33,3496.26,464.19,Cancelled,U2495,West,High,2025-06-28,15,Debit Card,item_298
ORD100117,P1620,Clothing,2501.43,373.33,323.36,Cancelled,U3367,West,Medium,2024-04-22,13,Credit Card,item_292
ORD100118,P1095,Groceries,766.54,1763.26,2244.63,Pending,U2049,West,Low,2025-08-30,11,Net Banking,item_158
ORD100119,P1527,Toys,2385.16,3829.56,6526.81,Processing,U2804,South,High,2025-09-11,10,Debit Card,item_48
ORD100120,P1347,Sports,1808.03,3571.05,5081.82,Processing,U2163,North,Low,2025-08-12,19,Debit Card,item_53
ORD100121,P1446,Electronics,2334.68,2620.49,4727.25,Pending,U3452,Central,High,2025-03-24,17,COD,item_44
ORD100122,P1924,Books,1177.96,3309.03,2866.23,Completed,U2152,Central,High,2024-12-17,7,COD,item_38
ORD100123,P1887,Furniture,4734.71,3014.6,4978.8,Completed,U2320,East,Medium,2024-12-30,3,COD,item_13
ORD100124,P1565,Furniture,125.93,2019.52,3297.31,Cancelled,U2129,West,High,2025-06-15,5,Credit Card,item_328
ORD100125,P1238,Groceries,4077.09,278.24,5010.7,Refunded,U2625,West,Medium,2025-02-22,1,COD,item_254
ORD100126,P1663,Electronics,,179.11,2369.29,Completed,U2033,South,Medium,2025-06-22,6,Credit Card,item_34
ORD100127,P1167,Furniture,,3961.9,5781.48,Cancelled,,West,Medium,2025-04-30,9,UPI,item_334
ORD100128,P1855,Toys,3848.19,1665.12,3568.73,Cancelled,U2436,East,High,2025-05-09,16,Debit Card,item_364
ORD100129,P1454,Sports,3552.81,1170.55,6398.76,Cancelled,U2108,North,Low,2024-09-14,14,Net Banking,item_416
ORD100130,P1696,Electronics,3290.51,1304.87,924.36,Refunded,U2148,West,Medium,2024-07-28,13,COD,item_155
ORD100131,P1143,Electronics,1544.14,319.48,5650.71,Cancelled,U3022,East,Low,2025-09-22,8,COD,item_164
ORD100132,P1950,Clothing,1676.56,894.24,5661.16,Pending,U2673,North,Low,2024-02-20,1,COD,item_15
ORD100133,P1412,Furniture,2976.27,226.04,5043.02,Processing,,West,Low,2024-02-26,2,Credit Card,item_255
ORD100134,P1431,Furniture,4910.04,2558.4,2437.31,Refunded,U2219,East,Medium,2025-02-14,18,COD,item_353
ORD100135,P1759,Toys,1277.93,3291.29,1400.67,Processing,U2143,West,Low,2025-02-16,14,Credit Card,item_290
ORD100136,P1169,Books,1201.2,242.94,5867.8,Refunded,,Central,Medium,2024-12-08,6,Credit Card,item_93
ORD100137,P1154,Sports,4748.67,2405.9,2390.51,Processing,U2629,East,High,2025-01-24,15,Credit Card,item_62
ORD100138,P1636,Sports,2365.95,1904.13,7369.48,Cancelled,U2997,West,Low,2024-06-26,6,COD,item_74
ORD100139,P1173,Clothing,238.32,2898.91,7596.9,Pending,U2508,South,Low,2024-05-14,3,Credit Card,item_153
ORD100140,P1260,Clothing,692.21,586.08,218.69,Refunded,U3126,North,Low,2025-05-05,16,Debit Card,item_474
ORD100141,P1217,Books,3783.57,797.66,2189.51,Completed,U2634,East,High,2025-07-04,14,COD,item_361
ORD100142,P1309,Furniture,2793.65,1107.98,6855.62,Processing,U3142,South,High,2025-08-22,11,Credit Card,item_419
ORD100143,P1802,Sports,2088.53,515.4,6494.14,Cancelled,,West,Medium,2024-11-17,19,Credit Card,item_468
ORD100144,P1343,Electronics,3135.89,2245.09,954.15,Completed,U2590,West,High,2024-11-23,5,UPI,item_33
ORD100145,P1743,Toys,4241.2,2128.73,5967.89,Pending,U3496,North,High,2024-09-07,10,COD,item_219
ORD100146,P1146,Furniture,2739.08,2405.87,5883.32,Pending,U2820,Central,High,2024-11-06,13,UPI,item_375
ORD100147,P1428,Sports,2616.69,116.4,2700.41,Refunded,U3199,North,High,2025-07-11,7,Debit Card,item_57
ORD100148,P1714,Furniture,265.96,3517.34,3794.35,Pending,U3107,North,High,2024-05-16,13,Net Banking,item_242
ORD100149,P1821,Clothing,4358.49,687.51,513.31,Pending,U3497,South,Low,2025-01-21,6,Credit Card,item_24
ORD100150,P1908,Toys,2057.29,1452.03,2537.4,Refunded,U2388,West,High,2025-05-13,2,COD,item_123
ORD100151,P1423,Groceries,4336.87,771.77,7764.82,Processing,U3025,Central,Low,2024-12-23,15,Credit Card,item_86
ORD100152,P1188,Toys,2577.39,63.41,2972.19,Processing,U2946,Central,Medium,2024-08-03,5,UPI,item_488
ORD100153,P1999,Clothing,3572.55,390.38,4790.15,Refunded,U2018,Central,High,2025-06-04,19,Net Banking,item_32
ORD100154,P1455,Electronics,1514.95,2181.27,7269.22,Cancelled,U3196,East,Low,2025-04-11,10,COD,item_200
ORD100155,P1324,Toys,2815.88,1432.23,6956.07,Cancelled,U2344,South,Medium,2024-04-11,19,Credit Card,item_383
ORD100156,P1862,Sports,3038.66,2323.32,4322.91,Cancelled,U3172,Central,High,2024-05-19,5,Credit Card,item_150
ORD100157,P1519,Furniture,2201.05,482.92,3875.01,Processing,U2268,East,Medium,2025-02-10,7,COD,item_135
ORD100158,P1909,Groceries,2755.43,2522.98,3970.54,Pending,U2678,Central,High,2025-09-19,11,UPI,item_9
ORD100159,P1538,Furniture,175.22,2880.82,3035.46,Completed,U2130,South,Medium,2024-03-13,4,COD,item_455
ORD100160,P1853,Books,164.07,3059.16,6294.04,Completed,U3058,South,High,2024-10-10,12,Credit Card,item_33
ORD100161,P1139,Electronics,1982.99,2434.36,2235.36,Cancelled,U2574,West,Medium,2024-01-28,4,Net Banking,item_293
ORD100162,P1017,Toys,3571.28,3280.17,3595.45,Cancelled,U2209,South,High,2024-11-30,7,COD,item_269
ORD100163,P1349,Furniture,4018.03,1273.84,5143.58,Completed,U2563,Central,Low,2024-04-08,1,Debit Card,item_27
ORD100164,P1097,Electronics,2211.93,3579.84,255.49,Completed,U3370,West,Medium,2025-04-04,17,COD,item_117
ORD100165,P1067,Books,1675.84,865.01,6000.11,Refunded,U2829,West,Medium,2024-03-19,18,Credit Card,item_116
