order_id,product_id,category,price,base_price,amount,status,user_id,region,priority,order_date,quantity,payment_method,new_name,final_price
ORD100003,P1089,Groceries,3072.87,1416.06,4873.15,Completed,U3148,North,Low,2025-09-10,14,UPI,item_245,1670.95
ORD100004,P1842,Clothing,4424.95,2881.66,1826.08,Completed,U2636,North,Medium,2025-04-29,11,COD,item_381,3400.36
ORD100006,P1024,Furniture,2778.0,2649.05,7758.76,Completed,U2204,Central,High,2024-11-05,13,COD,item_422,3125.88
ORD100007,P1901,Toys,4779.61,3106.04,3992.74,Completed,U3136,West,Medium,2024-08-09,20,Credit Card,item_427,3665.13
ORD100009,P1072,Sports,,499.42,3199.83,Completed,U2333,Central,Medium,2025-06-17,18,Net Banking,item_214,589.32
ORD100019,P1213,Furniture,2476.34,2118.65,4742.13,Completed,U3269,West,High,2024-10-16,18,Debit Card,item_159,2500.01
ORD100026,P1576,Toys,739.85,2631.66,5735.06,Completed,U3469,East,Low,2025-05-20,16,Debit Card,item_132,3105.36
ORD100028,P1392,Books,2873.1,2310.34,171.77,Completed,U2261,West,Medium,2024-12-02,13,COD,item_16,2726.2
ORD100038,P1625,Clothing,977.37,3325.65,5354.6,Completed,U2885,North,Low,2025-05-27,5,UPI,item_384,3924.27
ORD100039,P1482,Clothing,1576.13,1507.49,2380.02,Completed,U3429,West,Medium,2024-02-23,11,UPI,item_337,1778.84
ORD100041,P1259,Clothing,1123.47,2892.38,5049.88,Completed,U2450,South,Low,2025-03-11,11,Debit Card,item_363,3413.01
ORD100062,P1393,Groceries,352.37,2672.79,583.97,Completed,U3459,East,Low,2025-02-04,6,Debit Card,item_258,3153.89
ORD100074,P1667,Furniture,,1886.75,3670.88,Completed,U2486,South,Medium,2025-09-15,3,Debit Card,item_40,2226.37
ORD100077,P1590,Sports,2874.75,2449.94,810.88,Completed,U3376,South,Low,2025-05-09,20,UPI,item_389,2890.93
ORD100081,P1162,Electronics,3543.25,2692.67,5168.13,Completed,U3388,Central,Medium,2025-08-08,17,COD,item_40,3177.35
ORD100086,P1015,Sports,4923.22,994.12,3645.04,Completed,U3133,Central,Low,2025-07-04,17,COD,item_20,1173.06
ORD100088,P1528,Clothing,1219.66,3003.31,939.87,Completed,U3303,West,Low,2024-04-04,12,UPI,item_186,3543.91
ORD100094,P1131,Furniture,148.01,1018.98,4451.9,Completed,U2015,West,Medium,2024-10-15,8,Credit Card,item_87,1202.4
ORD100099,P1296,Furniture,3704.28,1103.86,4671.59,Completed,U2093,West,High,2024-02-13,12,Credit Card,item_431,1302.55
ORD100110,P1582,Clothing,1181.27,3235.63,2248.63,Completed,U2585,South,Low,2024-10-17,6,Debit Card,item_385,3818.04
